description_text,cvss_score,references_count,weaknesses_count,os_count,severity,years_since_published
SQL injection sample 0,7.8,3,1,1,HIGH,0.1
SQL injection sample 1,7.8,3,1,1,HIGH,0.1
SQL injection sample 2,7.8,3,1,1,HIGH,0.1
SQL injection sample 3,7.8,3,1,1,HIGH,0.1
SQL injection sample 4,7.8,3,1,1,HIGH,0.1
SQL injection sample 5,7.8,3,1,1,HIGH,0.1
SQL injection sample 6,7.8,3,1,1,HIGH,0.1
SQL injection sample 7,7.8,3,1,1,HIGH,0.1
SQL injection sample 8,7.8,3,1,1,HIGH,0.1
SQL injection sample 9,7.8,3,1,1,HIGH,0.1
SQL injection sample 10,7.8,3,1,1,HIGH,0.1
SQL injection sample 11,7.8,3,1,1,HIGH,0.1
SQL injection sample 12,7.8,3,1,1,HIGH,0.1
SQL injection sample 13,7.8,3,1,1,HIGH,0.1
SQL injection sample 14,7.8,3,1,1,HIGH,0.1
SQL injection sample 15,7.8,3,1,1,HIGH,0.1
SQL injection sample 16,7.8,3,1,1,HIGH,0.1
SQL injection sample 17,7.8,3,1,1,HIGH,0.1
SQL injection sample 18,7.8,3,1,1,HIGH,0.1
SQL injection sample 19,7.8,3,1,1,HIGH,0.1
SQL injection sample 20,7.8,3,1,1,HIGH,0.1
SQL injection sample 21,7.8,3,1,1,HIGH,0.1
SQL injection sample 22,7.8,3,1,1,HIGH,0.1
SQL injection sample 23,7.8,3,1,1,HIGH,0.1
SQL injection sample 24,7.8,3,1,1,HIGH,0.1
SQL injection sample 25,7.8,3,1,1,HIGH,0.1
SQL injection sample 26,7.8,3,1,1,HIGH,0.1
SQL injection sample 27,7.8,3,1,1,HIGH,0.1
SQL injection sample 28,7.8,3,1,1,HIGH,0.1
SQL injection sample 29,7.8,3,1,1,HIGH,0.1
SQL injection sample 30,7.8,3,1,1,HIGH,0.1
SQL injection sample 31,7.8,3,1,1,HIGH,0.1
SQL injection sample 32,7.8,3,1,1,HIGH,0.1
SQL injection sample 33,7.8,3,1,1,HIGH,0.1
SQL injection sample 34,7.8,3,1,1,HIGH,0.1
SQL injection sample 35,7.8,3,1,1,HIGH,0.1
SQL injection sample 36,7.8,3,1,1,HIGH,0.1
SQL injection sample 37,7.8,3,1,1,HIGH,0.1
SQL injection sample 38,7.8,3,1,1,HIGH,0.1
SQL injection sample 39,7.8,3,1,1,HIGH,0.1
SQL injection sample 40,7.8,3,1,1,HIGH,0.1
SQL injection sample 41,7.8,3,1,1,HIGH,0.1
SQL injection sample 42,7.8,3,1,1,HIGH,0.1
SQL injection sample 43,7.8,3,1,1,HIGH,0.1
SQL injection sample 44,7.8,3,1,1,HIGH,0.1
SQL injection sample 45,7.8,3,1,1,HIGH,0.1
SQL injection sample 46,7.8,3,1,1,HIGH,0.1
SQL injection sample 47,7.8,3,1,1,HIGH,0.1
SQL injection sample 48,7.8,3,1,1,HIGH,0.1
SQL injection sample 49,7.8,3,1,1,HIGH,0.1
SQL injection sample 50,7.8,3,1,1,HIGH,0.1
SQL injection sample 51,7.8,3,1,1,HIGH,0.1
SQL injection sample 52,7.8,3,1,1,HIGH,0.1
SQL injection sample 53,7.8,3,1,1,HIGH,0.1
SQL injection sample 54,7.8,3,1,1,HIGH,0.1
SQL injection sample 55,7.8,3,1,1,HIGH,0.1
SQL injection sample 56,7.8,3,1,1,HIGH,0.1
SQL injection sample 57,7.8,3,1,1,HIGH,0.1
SQL injection sample 58,7.8,3,1,1,HIGH,0.1
SQL injection sample 59,7.8,3,1,1,HIGH,0.1
SQL injection sample 60,7.8,3,1,1,HIGH,0.1
SQL injection sample 61,7.8,3,1,1,HIGH,0.1
SQL injection sample 62,7.8,3,1,1,HIGH,0.1
SQL injection sample 63,7.8,3,1,1,HIGH,0.1
SQL injection sample 64,7.8,3,1,1,HIGH,0.1
SQL injection sample 65,7.8,3,1,1,HIGH,0.1
SQL injection sample 66,7.8,3,1,1,HIGH,0.1
SQL injection sample 67,7.8,3,1,1,HIGH,0.1
SQL injection sample 68,7.8,3,1,1,HIGH,0.1
SQL injection sample 69,7.8,3,1,1,HIGH,0.1
SQL injection sample 70,7.8,3,1,1,HIGH,0.1
SQL injection sample 71,7.8,3,1,1,HIGH,0.1
SQL injection sample 72,7.8,3,1,1,HIGH,0.1
SQL injection sample 73,7.8,3,1,1,HIGH,0.1
SQL injection sample 74,7.8,3,1,1,HIGH,0.1
SQL injection sample 75,7.8,3,1,1,HIGH,0.1
SQL injection sample 76,7.8,3,1,1,HIGH,0.1
SQL injection sample 77,7.8,3,1,1,HIGH,0.1
SQL injection sample 78,7.8,3,1,1,HIGH,0.1
SQL injection sample 79,7.8,3,1,1,HIGH,0.1
SQL injection sample 80,7.8,3,1,1,HIGH,0.1
SQL injection sample 81,7.8,3,1,1,HIGH,0.1
SQL injection sample 82,7.8,3,1,1,HIGH,0.1
SQL injection sample 83,7.8,3,1,1,HIGH,0.1
SQL injection sample 84,7.8,3,1,1,HIGH,0.1
SQL injection sample 85,7.8,3,1,1,HIGH,0.1
SQL injection sample 86,7.8,3,1,1,HIGH,0.1
SQL injection sample 87,7.8,3,1,1,HIGH,0.1
SQL injection sample 88,7.8,3,1,1,HIGH,0.1
SQL injection sample 89,7.8,3,1,1,HIGH,0.1
SQL injection sample 90,7.8,3,1,1,HIGH,0.1
SQL injection sample 91,7.8,3,1,1,HIGH,0.1
SQL injection sample 92,7.8,3,1,1,HIGH,0.1
SQL injection sample 93,7.8,3,1,1,HIGH,0.1
SQL injection sample 94,7.8,3,1,1,HIGH,0.1
SQL injection sample 95,7.8,3,1,1,HIGH,0.1
SQL injection sample 96,7.8,3,1,1,HIGH,0.1
SQL injection sample 97,7.8,3,1,1,HIGH,0.1
SQL injection sample 98,7.8,3,1,1,HIGH,0.1
SQL injection sample 99,7.8,3,1,1,HIGH,0.1
